dialog_id,frame_id,turn,context,speaker,DA
0,1,0,"I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.",user,"inform, inform"
0,1,1,"Hi...I checked a few options for you, and unfortunately, we do not currently have any trips that meet this criteria.  Would you like to book an alternate travel option?",wizard,"no_result, suggest, sorry"
0,2,2,"Yes, how about going to Neverland from Caprica on August 13, 2016 for 5 adults. For this trip, my budget would be 1900.",user,inform
0,2,3,I checked the availability for this date and there were no trips available.  Would you like to select some alternate dates?,wizard,"no_result, suggest"
0,3,4,I have no flexibility for dates... but I can leave from Atlantis rather than Caprica. How about that?,user,"inform, inform, negate"
0,3,5,I checked the availability for that date and there were no trips available.  Would you like to select some alternate dates?,wizard,"no_result, suggest"
0,3,6,"I suppose I'll speak with my husband to see if we can choose other dates, and then I'll come back to you.Thanks for your help",user,thankyou
1,1,0,"Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.",user,"inform, inform, greeting"
1,1,1,"Hi. Sorry, I can't find any trips from Gotham City to Mos Eisley for you.",wizard,"sorry, no_result"
1,2,2,What about a trip from Gotham City to Neverland for the same budget?,user,inform
1,2,3,"Sorry, I cannot find any trips leaving from Gotham City. Could you suggest another nearby departure city?",wizard,"sorry, no_result, suggest"
1,3,4,Would any packages to Mos Eisley be available if I increase my budget to $2500?,user,inform
1,3,5,There are no trips available to Mos Eisley.,wizard,no_result
1,4,6,"You know what, I'd like to try and visit Neverland",user,inform
1,4,7,I cannot find any trips available to Neverland.,wizard,no_result
1,5,8,Do you have any trips from Gotham City to Kobe for my original budget of $2100?,user,inform
1,5,9,"I can book you a 3 day trip to Kobe leaving from Sapporo, Japan. Is this ok?",wizard,suggest
1,7,10,"No, that's too far for me. I need a flight that leaves from Birmingham.",user,"negate, inform"
1,7,11,I can book you a trip from Birmingham to Kobe for 2747.8 USD.,wizard,suggest
1,8,12,How many days would I be in Kobe?,user,"switch_frame, request"
1,8,13,You would arrive in Kobe August 17th and return to Birmingham on August 22nd.,wizard,inform
1,9,14,What would the price be if I shortened my trip by one day?,user,"request, inform"
1,9,15,I can not find any trips from Birmingham to Kobe for 4 days.,wizard,no_result
1,8,16,"Ok, then I would like to purchase this package. What activities are included in this package?",user,"switch_frame, inform, request"
1,8,17,There are no activities listed for this package. You will be staying at the Ivory Legacy Hotel for 7 days. This hotel has a 4.5 star rating and free wifi. Will I go ahead and book this package?,wizard,"inform, suggest"
1,8,18,"Yes, I would like to book this package.",user,affirm
1,8,19,"Great. Your flight departs from Birmingham at 9:00 am - Wednesday, August 17th 2016. Enjoy your trip, I have booked this package for you.",wizard,"inform, inform"
2,1,0,"Hello there i am looking to go on a vacation with my family to Gotham City, can you help me?",user,"inform, inform, greeting"
2,1,1,when  would you like to travel and how many people will you be?,wizard,request
2,1,2,"Not sure when we want to leave, but we are 12 kids and 5 adults",user,inform
2,1,3,do you have a budget?,wizard,request
2,1,4,"yes i do, it is around $2200",user,inform
2,1,5,where will you be travelling from?,wizard,request
2,1,6,We are from Neverland,user,inform
2,1,7,"We have nothing available leaving from Neverland, are you able to depart from another city?",wizard,"no_result, suggest"
2,2,8,we can depart from Toronto,user,inform
2,2,9,Gotham City is not a destination we travel to. Are you interested in any other destinations?,wizard,"no_result, suggest"
2,3,10,hmm what options would i have out of Toronto?,user,inform
2,3,11,Would you be interested in Calgary?,wizard,suggest
2,4,12,that would be nice,user,switch_frame
2,4,13,I have a departure from Toronto to Calgary  on August 17 returning on August 24. Does that work for you?,wizard,offer
2,4,14,"No sorry i was planning on getting a tan this vacation. Thanks, is there anywhere else? Thank you
is there anywhere else?",user,"negate, thankyou, request_alts"
2,4,15,How about a trip to Dominican Republic? it is quite cheap at this time of year.,wizard,suggest
2,6,16,What options do you have available for me?,user,"switch_frame, request"
2,6,17,I have the el Mar hotel available in Punta Cana this week.,wizard,offer
2,7,18,That sounds interesting. how many stars does the hotel have?,user,"request, switch_frame"
2,7,19,2.5 stars. You would have to fly out of Melbourne though,wizard,inform
2,7,20,Ahh...maybe another time,user,goodbye
3,1,0,"Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016",user,"inform, inform, greeting"
3,1,1,And what would be your maximum budget for this trip?,wizard,request
3,1,2,Actually it's unlimited for this trip,user,inform
3,1,3,How many adults and how many children will be making this trip?,wizard,request
3,1,4,2 adults,user,inform
3,1,5,"I have no trips to Caprica from Busan.  I do have a trip to Mannheim, Germany, one to Kingston , Canada, and another to Toronto Canada.  Would you like to select alternate dates or an alternate travel destination?",wizard,"no_result, suggest, suggest, suggest, suggest"
3,5,6,Do you have anything for San Antonio as a destination?,user,inform
3,5,7,"Yes, I do.  I have one for 8445.37 USD.  Would you like to book this package?  The guest rating is 7.15/10 and there is free parking and free wifi.  Leaving Sunday, August 21st at 11:00 a.m. and returning Sunday, August 28th at 1:00 a.m.",wizard,"offer, suggest"
3,6,8,Is breakfast included?,user,"request, switch_frame"
3,6,9,"Yes, it is.",wizard,inform
3,6,10,That sounds great. 1:00 am return on Sunday August 28th is very early in the morning... ,user,inform
3,6,11,Would you like to book this package?,wizard,suggest
3,6,12,Yes I would. Thanks for your help.,user,"affirm, inform, thankyou"
4,1,0,"Hello, I am looking to book a trip for 2 adults and 6 children for $21,300 or less. We are departing from Kochi for Denver.",user,"inform, inform, greeting"
4,1,1,I have several options available within your budget. How long would you like to travel for? And do you have dates in mind?,wizard,"request, inform"
4,1,2,I do not have any dates in mind. I would like to spend as much time in Denver as my budget will allow.,user,inform
4,1,3,I can book 7 days at a 4.0 star hotel for 19028.93USD. I can also book 7 days at a 3.0 star hotel for 12824.84USD.,wizard,"offer, offer"
4,1,4,Do these packages have different departure dates? When would I be leaving for each of them?,user,request_compare
4,1,5,The 3.0 star trip leaves Kochi August 26 and returns August 31. The 4.0 star leaves August 27 from Kochi and returns September 1.,wizard,"inform, inform"
4,2,6,"Ok, I would like to purchase the trip with the 4-star hotel.",user,"switch_frame, inform"
4,2,7,"Perfect, I will book that trip for you now. You will depart Kochi at 9:00 am August 27. Have a nice day.",wizard,"inform, inform"
4,2,8,Thank you,user,thankyou
5,1,0,"Hey, i Want to go to St. Louis on the 17th of August",user,"inform, inform, greeting"
5,1,1,For how many days?,wizard,request
5,1,2,I need to back by the 31st,user,inform
5,1,3,What will your departure city be?,wizard,request
5,1,4,I’m from Calgary,user,inform
5,1,5,I have a direct flight leaving from Calgary on August 18 and returning on August 28th. Does that work for you?,wizard,"offer, suggest"
5,2,6,Yes that sounds perfect may you please tell me about the destination place,user,"switch_frame, moreinfo"
5,2,7,It is the Glorious Cloak inn hotel in St. Louis. It has a 3-star rating.,wizard,inform
5,2,8,"That sounds lavish, what type of flight would that be?",user,request
5,2,9,"You would be flying business class, for a grand total of only $1858.14",wizard,inform
5,3,10,Are there any possible flights with economy class?,user,inform
5,3,11,I have a package at the Lunar whcih has a 5 star rating on an economy class flight on the same dates for $1558.00,wizard,suggest
5,4,12,that sounds even better.,user,switch_frame
5,4,13,This deal includes free breakfast and free wifi. Would you like me to book it for you?,wizard,"inform, suggest"
5,4,14,"Yes please, that sounds wonderful. thank you",user,"affirm, thankyou"
6,1,0,"I'm looking for a trip to Gotham City leaving from Kakariko Village on Saturday, August 13, 2016. 3 adults for no more than $2400 USD.",user,"inform, inform"
6,1,1,I have a trip available to Vancouver for these dates within your price range.  Would you like to increase your budget or adjust the dates?,wizard,"suggest, suggest"
6,3,2,I'd like to adjust the departure city to Caprica.,user,inform
6,3,3,Still no availability for this destination.  Would you like to increase your budget or adjust the dates?,wizard,"no_result, suggest"
6,4,4,"The dates cannot be changed. How about going to Theed with 14 adults, leaving from Kakariko Village, on a budget of $2900?",user,"inform, inform"
6,4,5,Still no availability.,wizard,no_result
6,4,6,Then I will bring my business elsewhere. Thank you.,user,thankyou
7,1,0,"Hello, I would like to book a 2-week trip leaving from Melbourne on August 27. I would like to go to Mannheim.",user,"greeting, inform, inform"
7,1,1,Have you got a budget for this vacation?,wizard,request
7,1,2,"I do not have a budget, however I would like to pick whichever package is cheapest. Could you offer me the cheapest package for each destination?",user,inform
7,1,3,"I can book you 9 days in Mannheim for 3258.15USD at a 5 star hotel,",wizard,offer
7,3,4,Is there a package to Mannheim which offers a cheaper hotel? I am flexible with my dates of arrival and departure.,user,inform
7,3,5,I am unable to find any cheaper packages for Mannheim,wizard,no_result
7,4,6,What would the cost be if I stayed for 10 days in Mexico City?,user,"request, inform"
7,4,7,"You can stay in Mexico City for 8 days for 426.16USD leaving from Melbourne, USA.",wizard,offer
7,6,8,"Actually I am leaving from Melbourne, Australia. How does this affect the price of the trip?",user,"inform, request"
7,6,9,"I cannot find any trips available from Melbourne, Australia to Mexico City.",wizard,no_result
7,7,10,Could I purchase a package  to Vancouver similar to the one I was offered?,user,inform
7,7,11,"I cannot find any trips available from Melbourne, Australia to any destinations. This point of departure is not in my database.",wizard,no_result
7,7,12,"Ok, thank you for your time anyways",user,thankyou
8,1,0,"Hello, I am planning to book a trip to pittsborgh",user,"inform, inform, greeting"
8,1,1,"Hello. Would that be Pittsborgh, Pennsylvania?",wizard,"confirm, greeting"
8,1,2,i think so!,user,affirm
8,1,3,And what city will you be departing from?,wizard,request
8,1,4,We will be leaving from Fukuoka,user,inform
8,1,5,how many people will be travelling together?,wizard,request
8,1,6,"there will be myself, 1 adult, and my four kids",user,inform
8,1,7,Do you have specific dates in mind?,wizard,request
8,1,8,none at the moment,user,inform
8,1,9,and for how long would you like to go for?,wizard,request
8,1,10,also not sure yet,user,inform
8,1,11,"I have no flights available to Pittsburgh, but I have package available to Vancouver",wizard,"no_result, suggest"
8,2,12,I would like to see the availabilities in Vancouver please,user,"switch_frame, request"
8,2,13,I have several available.  Do you have a budget in mind?,wizard,"request, inform"
8,2,14,I have $12600 to spend on this vacation,user,inform
8,2,15,It would be helpful if you could provide me with some dates,wizard,request
8,2,16,we are very flexible with dates anything would work,user,inform
8,2,17,I am very sorry  but I have nothing available at the moment,wizard,"sorry, no_result"
8,2,18,"that’s very unfortunate, thank you anyways",user,thankyou
9,1,0,"Hi, I need to go to Mos Eisley for a wedding, leaving on Saturday, August 13, 2016 and returning on Tuesday, August 16, 2016. Preferably for $3700.",user,"inform, inform"
9,1,1,Would you like to have a departure from a specific location?,wizard,request
10,1,0,"I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016. My budget is $3200 and I would leave from Detroit.",user,"inform, inform"
10,1,1,And what destination would you like to travel to?,wizard,request
10,1,2,"Anywhere, I'm looking for an adventure. What do you have?",user,"inform, request"
10,1,3,How about Mexico or Porto Alegre?,wizard,"offer, offer"
10,1,4,Let's look at both,user,request_compare
10,1,5,"Mexico is unavailable.  Porto Alegre is available, but you would have to leave from Santos.",wizard,"no_result, inform"
10,1,6,Can you please suggest some destinations that are available? I am leaving from Detroit.,user,"request_alts, inform"
10,1,7,I have no departures available from Detroit. for these dates.  Would you like to make a date change?,wizard,"no_result, suggest"
10,4,8,Anything between August 15 and August 31?,user,inform
10,4,9,"I'm sorry, but we do not have any departures from Detroit available for these dates for the budget you provided.  Would you like to adjust your budget for this trip?",wizard,"sorry, no_result, suggest"
10,4,10,No I cannot. Thank you for your help,user,"negate, thankyou"
11,1,0,"Good day, please book me a trip from Vancouver, Jamaica to Recife. I would like to leave for 17 days on August 24.",user,"inform, inform"
11,1,1,"Would you like to travel to Vancouver, Canada from Dublin, USA?",wizard,suggest
11,1,2,"No, I would like to depart from Vancouver, Jamaica for the aforementioned destination.",user,"negate, inform"
11,1,3,"I can book you an 8 day trip from Calgary to Vancouver, Canada for 810.50USD.",wizard,suggest
11,4,4,"I would not like to travel to Vancouver, Canada.  Do you have any trips to Recife, Brazil?",user,"negate, inform"
11,4,5,I can book you a trip from Porto Alegre to Recife for 682.19USD.,wizard,suggest
11,4,6,"I will take any package you give me to any destination as long as it leaves from Vancouver, Jamaica.",user,inform
11,4,7,"I can book you a trip from Vancouver, Canada to Toronto, Canada for 837.99USD.",wizard,suggest
11,4,8,"If you cannot book me a flight that leaves from Vancouver, Jamaica then I cannot book a trip.",user,inform
11,4,9,"I cannot book you a trip leaving from Vancouver, Jamaica.",wizard,no_result
11,7,10,"Actually I will be departing from Vancouver, British Columbia, do you have packages to Recife?",user,inform
11,7,11,I can book 11 days in Recife leaving from Vancouver for 2171.6USD.,wizard,offer
11,9,12,Do you have any similar packages to Goiania?,user,inform
11,9,13,I can book 5 days in Goiania for 2190.68USD.,wizard,suggest
11,8,14,What kind of hotel would I be staying at in Recife?,user,"switch_frame, moreinfo"
11,8,15,"3.5 star hotel for free wi-fi, free parking, and free breakfast.",wizard,inform
11,8,16,Would my room have a view of the city? How much would it cost to upgrade to a room with a view?,user,
11,8,17,I cannot provide this information,wizard,canthelp
11,8,18,"Ok, I'm ready to buy this package",user,inform
11,8,19,"Ok. I will book this package for you. You will be leaving Vancouver, Canada at 1:00 pm - Monday, August 15th 2016 and arriving in Recife, Brazil at 10:16 pm - Monday, August 15th 2016. You will be staying at La Casa Del Amor. Enjoy your trip.",wizard,"inform, inform"
11,8,20,I was supposed to leave on August 24th. Do you have any packages that leave on that date?,user,inform
11,8,21,I can book you 11 days in Recife leaving Vancouver on August 27th for 3119.42USD.,wizard,suggest
11,8,22,Actually I would like to purchase the first package to Recife.,user,"inform, inform"
11,8,23,"Ok, I will book you the package to Recife that leaves Vancouver, Canada on August 15.",wizard,"inform, inform"
11,8,24,Thanks,user,thankyou
12,1,0,Hi im looking for a nice destination that i could go to from Columbus,user,"inform, inform, greeting"
12,1,1,"I have 2 choices, Vancouver or Toronto.",wizard,"suggest, suggest"
12,1,2,What options are there for both,user,request
12,1,3,I have a few. Do you have a budget in mind?,wizard,"request, inform"
12,1,4,$3700 is my budget at the moment,user,inform
